"","0.5","1.5","2.5","3.5","4.5","5.5","6.7","8.8","12.5","17.5"
"0.5",0.001,0.011,0.007,0.006,0.005,0.005,0.008,0.009,0.014,0.004
"0.4",0.001,0.002,0.006,0.007,0.01,0.007,0.008,0.009,0.008,0.007
"0.25",0.002,0.006,0.004,0.007,0.01,0.011,0.02,0.019,0.013,0.006
"0.15",0.002,0.009,0.009,0.012,0.016,0.02,0.042,0.054,0.024,0.02
"0.05",0.01,0.023,0.033,0.031,0.041,0.029,0.047,0.039,0.042,0.007
"0",0.013,0.013,0,0.002,0.001,0,0,0,0,0
"-0.05",0.001,0.012,0.011,0.005,0.012,0.016,0.017,0.014,0.004,0.003
"-0.18",0.002,0.008,0.013,0.006,0.009,0.008,0.008,0.008,0.006,0.002
"-0.25",0.009,0.009,0.01,0.006,0.009,0.007,0.005,0.003,0.002,0.003
